id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1426743614084763651	1426743614084763651	2021-08-15 10:12:39 WIB	2021-08-15	10:12:39	+0700	1396755381695574022	restialone	Resti		Periksa dan usut!!!  Vaksinasi Selamatkan Indonesia  https://t.co/Uil5THIW7R	in	[]	[]	['https://pbs.twimg.com/media/E8zOXhKUUAAyVQS.jpg']	1	0	0	[]	[]	https://twitter.com/Restialone/status/1426743614084763651	False		1	https://pbs.twimg.com/media/E8zOXhKUUAAyVQS.jpg							[]				
1426743613359222785	1426743613359222785	2021-08-15 10:12:39 WIB	2021-08-15	10:12:39	+0700	1397094128991674368	anggrei26502021	Anggreini		kpk adalah lembaga indonesia yang hebat dalam memberantas korupsi Vaksinasi Selamatkan Indonesia  https://t.co/0LHQtQ2WOR	in	[]	[]	['https://pbs.twimg.com/media/E8zPualVcAIP4sV.jpg']	0	0	0	[]	[]	https://twitter.com/Anggrei26502021/status/1426743613359222785	False		1	https://pbs.twimg.com/media/E8zPualVcAIP4sV.jpg							[]				
1426743580085784577	1426743580085784577	2021-08-15 10:12:31 WIB	2021-08-15	10:12:31	+0700	1325087761938800642	abdybarie	Abdy Barie		Buwas Pastikan Penyaluran Beras Bansos PPKM Tahap II Kelar 20 Agustus   https://t.co/aBJ1k1DkLo  Vaksinasi Selamatkan Indonesia	in	[]	['https://bisnis.tempo.co/read/1493728/buwas-pastikan-penyaluran-beras-bansos-ppkm-tahap-ii-kelar-20-agustus']	[]	0	0	0	[]	[]	https://twitter.com/AbdyBarie/status/1426743580085784577	False		0								[]				
1426743543607881731	1426743543607881731	2021-08-15 10:12:23 WIB	2021-08-15	10:12:23	+0700	1397779035464241153	ahmadsa65572496	Ahmad Sahid		kpk semakin profesional dan berani dalam memberantas korupsi Vaksinasi Selamatkan Indonesia  https://t.co/8XwVe5duxr	in	[]	[]	['https://pbs.twimg.com/media/E8zPohuVEAEyoAg.jpg']	0	0	0	[]	[]	https://twitter.com/AhmadSa65572496/status/1426743543607881731	False		1	https://pbs.twimg.com/media/E8zPohuVEAEyoAg.jpg							[]				
1426743511190175745	1426743488205377543	2021-08-15 10:12:15 WIB	2021-08-15	10:12:15	+0700	1396755381695574022	restialone	Resti		Vaksinasi Selamatkan Indonesia  https://t.co/KBcPNsNST2	in	[]	[]	['https://pbs.twimg.com/media/E8zOV1qVkAIBvsn.jpg']	0	0	0	[]	[]	https://twitter.com/Restialone/status/1426743511190175745	False		1	https://pbs.twimg.com/media/E8zOV1qVkAIBvsn.jpg							[]				
1426743488205377543	1426743488205377543	2021-08-15 10:12:09 WIB	2021-08-15	10:12:09	+0700	1396755381695574022	restialone	Resti		Ayo dukung PON XX Papua - PAPUA NKRI  Vaksinasi Selamatkan Indonesia  https://t.co/EYpDqozjkl	in	[]	[]	['https://pbs.twimg.com/media/E8zOTPaVEAIXjKc.jpg']	1	0	0	[]	[]	https://twitter.com/Restialone/status/1426743488205377543	False		1	https://pbs.twimg.com/media/E8zOTPaVEAIXjKc.jpg							[]				
1426743468756328448	1426743468756328448	2021-08-15 10:12:05 WIB	2021-08-15	10:12:05	+0700	1367325594090831872	sheilap87511738	sheila putri		Buwas Pastikan Penyaluran Beras Bansos PPKM Tahap II Kelar 20 Agustus   https://t.co/OdZZJpamFR  Vaksinasi Selamatkan Indonesia	in	[]	['https://bisnis.tempo.co/read/1493728/buwas-pastikan-penyaluran-beras-bansos-ppkm-tahap-ii-kelar-20-agustus']	[]	0	0	0	[]	[]	https://twitter.com/sheilap87511738/status/1426743468756328448	False		0								[]				
1426743455305199618	1426743455305199618	2021-08-15 10:12:02 WIB	2021-08-15	10:12:02	+0700	1396919135251038209	diahayu83152503	Diah Ayu		Penyaluran bantuan sosial selama PPKM terus berlanjut hingga ke daerah. Vaksinasi Selamatkan Indonesia  https://t.co/mEHxOuiF9C	in	[]	[]	['https://pbs.twimg.com/media/E8zPmyvVIAssPrQ.jpg']	0	0	0	[]	[]	https://twitter.com/DiahAyu83152503/status/1426743455305199618	False		1	https://pbs.twimg.com/media/E8zPmyvVIAssPrQ.jpg							[]				
1426743449395499011	1426743440348377101	2021-08-15 10:12:00 WIB	2021-08-15	10:12:00	+0700	1358778727547637766	kitong_sehat	KITONG SEHAT		Ikuti Vaksinasi Massal, Pelajar di Sleman Rindu Belajar Tatap Muka. Vaksinasi Selamatkan Indonesia  https://t.co/sUybua5GTm	in	[]	['https://www.jawapos.com/jpg-today/13/08/2021/ikuti-vaksinasi-massal-pelajar-di-sleman-rindu-belajar-tatap-muka/']	[]	0	0	0	[]	[]	https://twitter.com/Kitong_Sehat/status/1426743449395499011	False		0								[]				
1426743447109599235	1426743440348377101	2021-08-15 10:12:00 WIB	2021-08-15	10:12:00	+0700	1358778727547637766	kitong_sehat	KITONG SEHAT		Tinjau Vaksinasi Pelajar, Bupati Yuhronur harap Herd Immunity Terbentuk. Vaksinasi Selamatkan Indonesia  https://t.co/okIsP2pxlN	in	[]	['https://memontum.com/150713-tinjau-vaksinasi-pelajar-bupati-yuhronur-harap-herd-immunity-terbentuk']	[]	1	0	0	[]	[]	https://twitter.com/Kitong_Sehat/status/1426743447109599235	False		0								[]				
1426743445171834881	1426743440348377101	2021-08-15 10:11:59 WIB	2021-08-15	10:11:59	+0700	1358778727547637766	kitong_sehat	KITONG SEHAT		Vaksinasi Ribuan Santri dan Pelajar, Bus Sekolah Disulap Jadi Vaccine Mobile. Vaksinasi Selamatkan Indonesia  https://t.co/tarUF4WZdT	in	[]	['https://www.antvklik.com/headline/vaksinasi-ribuan-santri-dan-pelajar-bus-sekolah-disulap-jadi-vaccine-mobile']	[]	1	0	0	[]	[]	https://twitter.com/Kitong_Sehat/status/1426743445171834881	False		0								[]				
1426743434446921732	1426743434446921732	2021-08-15 10:11:57 WIB	2021-08-15	10:11:57	+0700	1396919135251038209	diahayu83152503	Diah Ayu		Penyaluran bantuan sosial selama PPKM terus berlanjut hingga ke daerah. Vaksinasi Selamatkan Indonesia  https://t.co/zbFngdlWYA	in	[]	[]	['https://pbs.twimg.com/media/E8zPle_VIAQPZQ8.jpg']	0	0	0	[]	[]	https://twitter.com/DiahAyu83152503/status/1426743434446921732	False		1	https://pbs.twimg.com/media/E8zPle_VIAQPZQ8.jpg							[]				
1426743411357351940	1426743411357351940	2021-08-15 10:11:51 WIB	2021-08-15	10:11:51	+0700	1343784637156392960	fajrilawak	Fajri		OPM Hambat Pembangunan Papua Vaksinasi Selamatkan Indonesia  https://t.co/l1hBIY1myh	in	[]	[]	['https://pbs.twimg.com/media/E8zPkSrUUAAkWVF.jpg']	0	0	0	[]	[]	https://twitter.com/FajriLawak/status/1426743411357351940	False		1	https://pbs.twimg.com/media/E8zPkSrUUAAkWVF.jpg							[]				
1426743408312274944	1426743408312274944	2021-08-15 10:11:50 WIB	2021-08-15	10:11:50	+0700	1396919135251038209	diahayu83152503	Diah Ayu		Penyaluran bantuan sosial selama PPKM terus berlanjut hingga ke daerah. Vaksinasi Selamatkan Indonesia  https://t.co/Tj9Fk2umYu	in	[]	[]	['https://pbs.twimg.com/media/E8zPj0xUcAMRqPR.jpg']	0	0	0	[]	[]	https://twitter.com/DiahAyu83152503/status/1426743408312274944	False		1	https://pbs.twimg.com/media/E8zPj0xUcAMRqPR.jpg							[]				
1426743398229102593	1426743398229102593	2021-08-15 10:11:48 WIB	2021-08-15	10:11:48	+0700	1354324218897293312	terpesonna1	Terpesonna		Kemhub Kirim 428 Bus untuk PON XX Papua  Vaksinasi Selamatkan Indonesia  https://t.co/YNyd0UdrYi	in	[]	['https://www.google.com/amp/s/www.beritasatu.com/amp/ekonomi/813619/kemhub-kirim-428-bus-untuk-pon-xx-papua']	[]	0	0	0	[]	[]	https://twitter.com/Terpesonna1/status/1426743398229102593	False		0								[]				
1426743386942316548	1426743386942316548	2021-08-15 10:11:45 WIB	2021-08-15	10:11:45	+0700	14903468	nescagraff	Asraf Amidun #rakyatjagarakyat		Pekedai camne? Ada requirement kena vaksinasi lengkap baru boleh buka ke? Cam takde mention memane	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/nescagraff/status/1426743386942316548	False	https://twitter.com/fareezazmann/status/1426736559684952066	0								[]				
1426743380281729027	1426743380281729027	2021-08-15 10:11:44 WIB	2021-08-15	10:11:44	+0700	1347545162608648192	lovelysinaga79	LovelySinaga		#VaksinUntukDifabel dilakukan untuk mengupayakan percepatan vaksinasi di Kota Depok.  https://t.co/PA8Y4RkTt0	in	[]	['https://republika.co.id/share/qxs8h1457']	[]	0	0	2	['vaksinuntukdifabel']	[]	https://twitter.com/LovelySinaga79/status/1426743380281729027	False		0								[]				
1426743344416182275	1426743344416182275	2021-08-15 10:11:35 WIB	2021-08-15	10:11:35	+0700	1396755381695574022	restialone	Resti		Pembangunan di Papua sangat pesat  Vaksinasi Selamatkan Indonesia  https://t.co/ddYbsDzffx	in	[]	[]	['https://pbs.twimg.com/media/E8zOM6MVEAYDUEm.jpg']	1	0	0	[]	[]	https://twitter.com/Restialone/status/1426743344416182275	False		1	https://pbs.twimg.com/media/E8zOM6MVEAYDUEm.jpg							[]				
1426743278087507971	1426743278087507971	2021-08-15 10:11:19 WIB	2021-08-15	10:11:19	+0700	1354324218897293312	terpesonna1	Terpesonna		UU Otsus Papua, Dorong Pengelolaan Dana Otsus Tepat Sasaran  Vaksinasi Selamatkan Indonesia  https://t.co/0SICZrcfU4	in	[]	['https://www.bengkulutoday.com/uu-otsus-papua-dorong-pengelolaan-dana-otsus-tepat-sasaran']	[]	0	0	0	[]	[]	https://twitter.com/Terpesonna1/status/1426743278087507971	False		0								[]				
1426743270286127108	1426743270286127108	2021-08-15 10:11:17 WIB	2021-08-15	10:11:17	+0700	39445002	zakwan_khidzir	Zakwan Khidzir		Pergi supermarket beli barang tanpa divaksin? Boleh.  Pergi kedai beli barang elektronik tak lengkap vaksinasi? Tak boleh.  SAINS.	in	[]	[]	[]	0	0	3	[]	[]	https://twitter.com/zakwan_khidzir/status/1426743270286127108	False		0								[]				
1426743250916823041	1426743250916823041	2021-08-15 10:11:13 WIB	2021-08-15	10:11:13	+0700	961605104225800193	arfdnl__	🌊		Diam ja la geng hang tadbir kedah pun takleh bagi laju proses vaksinasi. Yang tau dok pulun cover sorang tu tiap kali buat hal 🤗	in	[]	[]	[]	1	2	4	[]	[]	https://twitter.com/arfdnl__/status/1426743250916823041	False	https://twitter.com/nurulaminhamid/status/1426545921089630212	0								[]				
1426743247867572229	1426743247867572229	2021-08-15 10:11:12 WIB	2021-08-15	10:11:12	+0700	1397743123174891520	novelanii	Novela		Pemerintah Terus Berupaya Menyalurkan Bansos untuk meringankan beban masyarakat terdampak PPKM  Vaksinasi Selamatkan Indonesia  https://t.co/l3F0jzbFFg	in	[]	[]	['https://pbs.twimg.com/media/E8zPRwLVIA8OST5.jpg']	0	0	0	[]	[]	https://twitter.com/Novelanii/status/1426743247867572229	False		1	https://pbs.twimg.com/media/E8zPRwLVIA8OST5.jpg							[]				
1426743237574742020	1426743237574742020	2021-08-15 10:11:10 WIB	2021-08-15	10:11:10	+0700	106247388	frankytts	Franky Tts		Kementerian Perdagangan bekerja sama dengan Asosiasi E-Commerce Indonesia, menertibkan perdagangan jasa cetak kartu vaksin Covid-19 di platform marketplace (lokapasar) guna mencegah kebocoran data pribadi masyarakat yang telah melakukan vaksinasi.   https://t.co/BzBCBGc67u.	in	[]	['https://money.kompas.com/read/2021/08/15/081500226/cegah-kebocoran-data-kemendag-blokir-2.453-jasa-cetak-kartu-vaksin-di']	[]	0	0	0	[]	[]	https://twitter.com/FrankyTts/status/1426743237574742020	False		0								[]				
1426743188295806982	1426743179097776132	2021-08-15 10:10:58 WIB	2021-08-15	10:10:58	+0700	1396024546105327624	gilamedsos	Gila Medsos		demi keselamatan bersama .. Mengingatkan, Yuk Vaksin, Vaksinasi Selamatkan Indonesia  https://t.co/N03GMMgkDL	in	[]	[]	['https://pbs.twimg.com/media/E8zOd2iVoAAndF-.jpg']	0	0	0	[]	[]	https://twitter.com/GilaMedsos/status/1426743188295806982	False		1	https://pbs.twimg.com/media/E8zOd2iVoAAndF-.jpg							[]				
